date,winner,loser
3/19/26,TCU,Ohio State
3/19/26,Nebraska,Troy
3/19/26,Louisville,South Florida
3/19/26,High Point,Wisconsin
3/19/26,Duke,Siena
3/19/26,Vanderbilt,McNeese
3/19/26,Michigan State,North Dakota State
3/19/26,Arkansas,Hawaii
3/19/26,VCU,UNC
3/19/26,Michigan,Howard
3/19/26,Texas,BYU
3/19/26,Texas A&M, Saint Mary's
3/20/26,Illinois,Penn
3/20/26,Saint Louis,Georgia
3/20/26,Gonzaga,Kennesaw State
3/20/26,Houston,Idaho
3/20/26,Kentucky,Santa Clara
3/20/26,Texas Tech,Akron
3/20/26,Arizona,Long Island
3/20/26,Virginia,Wright State
3/20/26,Iowa State,Tennessee State
3/20/26,Alabama,Hofstra
3/20/26,Utah State,Villanova
3/20/26,Tennessee,Miami Ohio
3/20/26,Iowa,Clemson
3/20/26,St. John's,Northern Iowa
3/20/26,UCLA,UCF
3/20/26,Purdue,Queens (N.C.)
3/20/26,Florida,Prarie View
3/20/26,Kansas,Cal Baptist
3/20/26,Miami,Missouri
3/20/26,UConn,Furman
3/21/26,Michigan,Saint Louis
3/21/26,Michigan State,Louisville
3/21/26,Duke,TCU
3/21/26,Houston,Texas A&M
3/21/26,Texas,Gonzaga
3/21/26,Illinois,VCU
3/21/26,Nebraska,Vanderbilt
3/21/26,Arkansas,High Point
